Id,Prediction
1,1
2,0
3,0
4,1
5,0
6,0
7,1
8,1
9,0
10,1
11,0
12,0
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,1
21,1
22,0
23,0
24,1
25,0
26,0
27,1
28,1
29,0
30,0
31,1
32,1
33,1
34,0
35,1
36,1
37,1
38,1
39,1
40,1
41,0
42,0
43,1
44,0
45,1
46,1
47,0
48,1
49,1
50,0
51,0
52,1
53,0
54,1
55,0
56,0
57,1
58,0
59,0
60,1
61,1
62,0
63,1
64,0
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,0
80,1
81,1
82,0
83,0
84,1
85,1
86,1
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,1
108,0
109,1
110,0
111,1
112,1
113,0
114,0
115,0
116,1
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,0
125,0
126,0
127,1
128,0
129,1
130,0
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,1
139,0
140,0
141,1
142,1
143,0
144,0
145,0
146,0
147,1
148,1
149,1
150,0
151,1
152,0
153,0
154,1
155,0
156,1
157,1
158,0
159,0
160,1
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,1
170,0
171,0
172,1
173,1
174,0
175,0
176,0
177,1
178,1
179,1
180,0
181,0
182,0
183,0
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,0
197,1
198,0
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,1
207,0
208,0
209,1
210,1
211,0
212,0
213,1
214,0
215,1
216,1
217,1
218,0
219,0
220,0
221,0
222,1
223,0
224,1
225,0
226,0
227,0
228,1
229,1
230,1
231,0
232,1
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,1
241,1
242,1
243,1
244,1
245,1
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,1
254,0
255,1
256,0
257,0
258,1
259,0
260,1
261,1
262,0
263,1
264,1
265,1
266,1
267,0
268,0
269,1
270,0
271,0
272,1
273,0
274,0
275,1
276,0
277,0
278,1
279,0
280,0
281,0
282,0
283,1
284,1
285,0
286,1
287,1
288,0
289,1
290,0
291,0
292,1
293,0
294,1
295,1
296,1
297,1
298,0
299,1
300,0
301,0
302,0
303,1
304,0
305,1
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,0
327,1
328,1
329,0
330,0
331,1
332,0
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,0
341,1
342,0
343,0
344,1
345,0
346,0
347,1
348,0
349,0
350,0
351,1
352,1
353,1
354,1
355,1
356,0
357,0
358,1
359,1
360,1
361,1
362,0
363,1
364,1
365,1
366,1
367,0
368,0
369,1
370,1
371,1
372,0
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,1
384,1
385,1
386,0
387,1
388,0
389,1
390,1
391,1
392,0
393,0
394,0
395,0
396,0
397,1
398,1
399,0
400,0
401,0
402,1
403,1
404,1
405,0
406,1
407,0
408,1
409,1
410,1
411,0
412,1
413,0
414,0
415,1
416,1
417,0
418,1
419,0
420,1
421,1
422,1
423,1
424,0
425,0
426,1
427,0
428,0
429,1
430,1
431,1
432,0
433,0
434,1
435,1
436,0
437,0
438,1
439,0
440,0
441,0
442,1
443,0
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,0
456,1
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,0
470,1
471,0
472,1
473,1
474,1
475,1
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,1
484,1
485,1
486,1
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,1
495,1
496,1
497,1
498,1
499,1
500,0
501,0
502,0
503,1
504,0
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,1
514,0
515,0
516,1
517,1
518,1
519,0
520,1
521,1
522,1
523,1
524,1
525,1
526,0
527,0
528,0
529,0
530,0
531,1
532,1
533,0
534,1
535,0
536,0
537,0
538,0
539,1
540,1
541,0
542,1
543,0
544,1
545,0
546,0
547,0
548,0
549,1
550,1
551,1
552,1
553,1
554,0
555,0
556,0
557,0
558,0
559,1
560,0
561,0
562,0
563,0
564,1
565,1
566,0
567,0
568,0
569,0
570,1
571,1
572,0
573,0
574,1
575,0
576,0
577,0
578,1
579,1
580,0
581,1
582,0
583,0
584,0
585,1
586,0
587,1
588,1
589,1
590,0
591,1
592,1
593,0
594,0
595,0
596,0
597,0
598,1
599,1
600,1
601,0
602,1
603,0
604,1
605,1
606,1
607,0
608,1
609,1
610,1
611,1
612,0
613,1
614,1
615,0
616,0
617,1
618,0
619,0
620,1
621,0
622,0
623,0
624,0
625,1
626,0
627,1
628,1
629,1
630,0
631,0
632,1
633,1
634,0
635,1
636,0
637,1
638,0
639,0
640,0
641,0
642,1
643,1
644,1
645,1
646,0
647,0
648,0
649,0
650,1
651,0
652,1
653,1
654,0
655,0
656,1
657,0
658,1
659,1
660,1
661,0
662,0
663,0
664,0
665,0
666,1
667,0
668,1
669,1
670,1
671,1
672,0
673,0
674,0
675,0
676,0
677,0
678,1
679,1
680,0
681,0
682,1
683,1
684,0
685,1
686,1
687,1
688,0
689,1
690,1
691,1
692,0
693,0
694,0
695,0
696,1
697,1
698,1
699,0
700,0
701,0
702,0
703,1
704,0
705,1
706,1
707,1
708,0
709,1
710,0
711,0
712,0
713,1
714,1
715,0
716,1
717,1
718,0
719,0
720,0
721,1
722,0
723,0
724,1
725,1
726,1
727,1
728,0
729,1
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,1
741,1
742,1
743,0
744,1
745,0
746,0
747,0
748,1
749,1
750,0
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,0
768,0
769,1
770,0
771,1
772,0
773,0
774,0
775,1
776,0
777,0
778,0
779,0
780,1
781,1
782,0
783,1
784,1
785,1
786,1
787,0
788,0
789,1
790,0
791,0
792,0
793,1
794,1
795,1
796,1
797,0
798,1
799,1
800,0
801,1
802,1
803,1
804,0
805,0
806,0
807,1
808,1
809,1
810,1
811,1
812,1
813,0
814,0
815,0
816,0
817,1
818,1
819,0
820,0
821,1
822,0
823,0
824,0
825,0
826,1
827,1
828,0
829,1
830,0
831,1
832,0
833,0
834,1
835,1
836,0
837,1
838,1
839,0
840,1
841,1
842,1
843,1
